object,x,target,pred_init,pred
Object A,0,0.17640523460000002,-0.0026880776000000003,-0.0040321164
Object A,1,0.2386850516,0.3160655512,0.4740983268
Object A,2,0.48729214070000004,0.38513111320000004,0.5776966698
Object A,3,0.7887317933,0.5526053565,0.8289080348000001
Object A,4,0.9041118899,0.8984754442,1.3477131663
Object A,5,0.7437431968,0.8294095709,1.2441143563
Object A,6,1.0270479277,1.0403513722,1.5605270583
Object A,7,0.9703140092,1.0308083887,1.546212583
Object A,8,0.9892517179,0.8623872991,1.2935809487
Object A,9,1.0149074811,0.9423592479,1.4135388719
Object A,10,0.9237017839,0.7892096944,1.1838145416
Object A,11,0.9539237545,0.8820131222,1.3230196833
Object A,12,0.7515669531,0.5889376967000001,0.8834065451
Object A,13,0.5276688735,0.182412353,0.2736185295
Object A,14,0.3793744734,0.4148597019,0.6222895528
Object A,15,0.1744874408,0.0941312536,0.1411968804
Object A,16,0.09103376390000001,-0.2350059055,-0.3525088582
Object A,17,-0.2760569284,-0.18350047730000002,-0.275250716
Object A,18,-0.4112136731,-0.592673346,-0.8890100190000001
Object A,19,-0.6972674649,-0.6868783857,-1.0303175786
Object A,20,-1.0121014769,-0.8662833645,-1.2994250467000001
Object A,21,-0.8062139129,-0.7804173307000001,-1.1706259961
Object A,22,-0.865158454,-0.6372783171,-0.9559174756000001
Object A,23,-1.0679075057,-1.3148726697,-1.9723090046
Object A,24,-0.7691891464,-0.6887208182,-1.0330812273
Object A,25,-1.1043608421,-1.2413228603,-1.8619842904000001
Object A,26,-0.8788788040000001,-1.0530382338,-1.5795573507
Object A,27,-0.7914828726,-0.9072528055,-1.3608792083
Object A,28,-0.4779887164,-0.5402992229,-0.8104488344
Object A,29,-0.3176663024,-0.306433234,-0.45964985100000005
Object A,30,-0.2639207556,-0.4969507238,-0.7454260857
Object A,31,-0.0452731509,0.1348921465,0.2023382198
Object A,32,0.027770630100000002,0.120903118,0.18135467700000002
Object A,33,0.1134617167,-0.1937870206,-0.2906805309
Object A,34,0.4593221362,0.756972575,1.1354588625
Object A,35,0.6726214956000001,1.0517993308,1.5776989962
Object A,36,0.9166969319,1.1524528462,1.7286792693000002
Object A,37,1.0189460807,0.9829611135,1.4744416703
Object A,38,0.9291869903000001,0.715036466,1.072554699
Object A,39,0.9683130703,1.1792034157,1.7688051236
Object A,40,0.8845029501,0.8038675607,1.205801341
Object A,41,0.7987287630000001,1.043217777,1.5648266655
Object A,42,0.683971889,0.7256268846,1.0884403269
Object A,43,0.9294746374,1.1248024447,1.687203667
Object A,44,0.5339519747,0.6052252542000001,0.9078378813
Object A,45,0.3683110551,0.5096256887,0.7644385331
Object A,46,0.0976103781,0.0997103822,0.1495655733
Object A,47,0.10252446100000001,0.4596985598,0.6895478397
Object A,48,-0.335716566,-0.31033414740000004,-0.46550122110000003
Object A,49,-0.38775315730000004,-0.3073552846,-0.46103292690000003
Object B,0,0.1883150697,0.1746667486,0.1746667486
Object B,1,0.0638934247,0.406561969,0.2439371814
Object B,2,0.2623698425,0.11341887810000001,0.11341887810000001
Object B,3,0.6615821442,0.4962944365,0.2977766619
Object B,4,0.6000437504,0.5803532455,0.5803532455
Object B,5,1.0358331034,0.9031374461,0.5418824677
Object B,6,0.8906771879000001,1.1160043723,1.1160043723
Object B,7,0.9107042488,0.6947179472,0.4168307683
Object B,8,1.1918678057,0.9623740752000001,0.9623740752000001
Object B,9,1.12189911,1.0343351011,0.6206010607
Object B,10,1.0960533229,0.9964468327,0.9964468327
Object B,11,0.8991008696,1.2850072804,0.7710043682000001
Object B,12,0.589340612,0.7792247734000001,0.7792247734000001
Object B,13,0.7065078671,0.7240181154,0.4344108692
Object B,14,0.3081878131,0.0631007093,0.0631007093
Object B,15,0.22136564760000002,0.39023824290000003,0.23414294570000002
Object B,16,0.0363510533,-0.1636920161,-0.1636920161
Object B,17,-0.2710421113,-0.5799963307,-0.3479977984
Object B,18,-0.3811125063,-0.1435065478,-0.1435065478
Object B,19,-0.5196372238,-0.4562487014,-0.2737492208
Object B,20,-0.7191599422,-0.5349881774,-0.5349881774
Object B,21,-0.9815158515,-0.9177703209,-0.5506621925
Object B,22,-0.9217782565,-0.7504121341000001,-0.7504121341000001
Object B,23,-0.8610524140000001,-0.9912575326,-0.5947545196
Object B,24,-1.0656213948,-1.2724699632,-1.2724699632
Object B,25,-0.9738877287000001,-0.8375688250000001,-0.502541295
Object B,26,-0.9269700109000001,-1.0876519437,-1.0876519437
