obj_id,obj,segment,dt,target,pred
0,ADY,C,2025-05-18 00:00:00,-92.95025720893436,
0,ADY,C,2025-05-18 01:00:00,-88.87421345265062,
0,ADY,C,2025-05-18 02:00:00,-88.73722338277318,
0,ADY,C,2025-05-18 03:00:00,-89.55467251909725,
0,ADY,C,2025-05-18 04:00:00,-94.72782952072912,
0,ADY,C,2025-05-18 05:00:00,-90.42569394807195,
0,ADY,C,2025-05-18 06:00:00,-87.8445197770477,
0,ADY,C,2025-05-18 07:00:00,-90.6804433112647,
0,ADY,C,2025-05-18 08:00:00,-85.91965819054238,
0,ADY,C,2025-05-18 09:00:00,-85.254482525068,
0,ADY,C,2025-05-18 10:00:00,-84.413673693293,
0,ADY,C,2025-05-18 11:00:00,-82.89993713904613,
0,ADY,C,2025-05-18 12:00:00,-84.42320538668733,
0,ADY,C,2025-05-18 13:00:00,-87.77808514033536,
0,ADY,C,2025-05-18 14:00:00,-89.50718348900612,
0,ADY,C,2025-05-18 15:00:00,-95.90118089578965,
0,ADY,C,2025-05-18 16:00:00,-91.34131944179387,
0,ADY,C,2025-05-18 17:00:00,-84.08092161980558,
0,ADY,C,2025-05-18 18:00:00,-82.79645581081162,
0,ADY,C,2025-05-18 19:00:00,-79.28596740199556,
0,ADY,C,2025-05-18 20:00:00,-75.23752087284775,
0,ADY,C,2025-05-18 21:00:00,-75.78809086344117,
0,ADY,C,2025-05-18 22:00:00,-78.12866457030194,
0,ADY,C,2025-05-18 23:00:00,-69.44619275352005,
0,ADY,C,2025-05-19 00:00:00,-75.39582497877866,-92.95025720893436
0,ADY,C,2025-05-19 01:00:00,-70.78127594717428,-90.9122353307925
0,ADY,C,2025-05-19 02:00:00,-70.02300594500531,-90.18723134811938
0,ADY,C,2025-05-19 03:00:00,-70.34011860183237,-89.05536978484035
0,ADY,C,2025-05-19 04:00:00,-75.0495974711536,-91.00657514086652
0,ADY,C,2025-05-19 05:00:00,-70.35099830191268,-91.56939866263276
0,ADY,C,2025-05-19 06:00:00,-67.52350087524114,-90.99934774861624
0,ADY,C,2025-05-19 07:00:00,-69.9789723817366,-89.6502190121281
0,ADY,C,2025-05-19 08:00:00,-64.88090026127516,-88.14820709295158
0,ADY,C,2025-05-19 09:00:00,-64.0626692683277,-87.28486134229168
0,ADY,C,2025-05-19 10:00:00,-63.215274536759736,-85.19593813630112
0,ADY,C,2025-05-19 11:00:00,-61.76694137885764,-84.18936445246904
0,ADY,C,2025-05-19 12:00:00,-63.10784228160655,-83.91227207300882
0,ADY,C,2025-05-19 13:00:00,-66.4644496033597,-85.03374255535628
0,ADY,C,2025-05-19 14:00:00,-68.28353138747482,-87.23615800534294
0,ADY,C,2025-05-19 15:00:00,-74.89691862205869,-91.06214984171038
0,ADY,C,2025-05-19 16:00:00,-70.67197561279676,-92.24989460886322
0,ADY,C,2025-05-19 17:00:00,-63.71980279090552,-90.44114065246303
0,ADY,C,2025-05-19 18:00:00,-62.990568555224144,-86.07289895747037
0,ADY,C,2025-05-19 19:00:00,-60.089134774165345,-82.05444827753759
0,ADY,C,2025-05-19 20:00:00,-56.77542782105229,-79.10664802855165
0,ADY,C,2025-05-19 21:00:00,-58.000491484550366,-76.77052637942816
0,ADY,C,2025-05-19 22:00:00,-60.89356236058691,-76.38475876886362
0,ADY,C,2025-05-19 23:00:00,-52.96532551464779,-74.45431606242106
0,ADY,C,2025-05-20 00:00:00,-59.563739650154815,-74.32356076753355
0,ADY,C,2025-05-20 01:00:00,-55.215788045305246,-71.874431226491
0,ADY,C,2025-05-20 02:00:00,-54.75484510630462,-72.06670229031941
